"","group1","group2","group_names","diet_names","dietCal","colors","xrange","outliers","errorbars","mri","light","exc","Total.Mass","Lean.Mass","Fat.Mass","id"
"1","18","17","GFP","LabDiet 5008 3.56kcal/g","3.56","#999999","20","No","Yes","Yes","7","166","24.6","21.26","1.8","17"
"2","19","20","Tent","LabDiet 5008 3.56kcal/g","3.56","#E69F00","68",NA,NA,"","19","166","27.7","24.26","2.32","18"
"3","22","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","28.8","24.16","2.92","19"
"4","23","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","24.6","21.7","1.32","20"
"5","25","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","28.3","23.94","2.46","21"
"6","28","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","34.7","25.12","9.19","22"
"7","29","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","30.4","23.89","5.1","23"
"8","32","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","26.1","22.95","2.08","24"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","30","23.71","5.07","25"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","25.3","21.43","2.38","26"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","28.3","22.84","4.23","27"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","29","24.46","4.42","28"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","24.3","20.24","2.75","29"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","21.8","18.24","1.9","30"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","27.7","23.58","2.21","31"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","25.8","22.44","2.21","32"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
